corp_code,inventory,totalEquity,CofGS,totalDebt,CFfromO,accountReceivable,accountPayables,revenue
121507,23009069747,206486682471,27205181816,88318987437,1515735141,19937253368,4540849115,32079788616
176835,100163336901,239203932188,14850966249,62064673813,-7899887050,49451362182,12607468834,32535077480
372226,42550245078,233903967224,39693557082,80896405305,-6672643585,57352571567,11746129923,61542703571
104999,87027387263,104649109764,57817104886,204328018110,2439527022,60178420505,10509405139,72119530277
410915,67099743882,68287672392,11678444603,87558709746,200109786,7269375500,9723925,17447594870
173351,16679688653,82985516010,29030637122,18817329782,-8665803133,22860498594,9397266604,33438179742
484682,37082762683,175556213308,45832400336,64024437330,-4081502201,27068489937,18563551262,72704668227
168401,27506600928,159230287491,47281138289,180320055012,-3511119518,35383555796,19622346866,56512501943
573579,33963279424,25666105525,98843373274,188223217247,9314391807,65996506237,69982799866,106238948671
612294,172541938671,132853474796,73789890300,284790510219,-4378395634,59720550916,61044417507,89843332644
1009789,200821751202,288671715358,285205393972,962553164726,37849286393,320527496000,176072678654,344962474812
159698,26725848296,1886554535708,688225315703,4346095312103,261341593922,25107183363,-209456243,848052527702
800084,12252180,2127198941,107301900,59582988,66225207,141189919,47511497,138223096
985686,2993815757,39063163440,11756084895,20807749347,350651748,7194122459,4436367309,16298284869
567222,16985202779,78776988065,11384987151,15424330727,622344508,7749443995,4135154004,12476194162
131780,652247000000,2291120000000,2493127000000,6762879000000,112958000000,740643000000,1181563000000,2753815000000
199252,5443290863,553674872410,6963329304,145342218244,-13731789649,11470831294,3577253849,7563784790
186717,8100252218,165291737917,31268309754,44629076162,5515478839,15781886870,16973157819,37563288882
353610,4025088465,200520483030,65200658280,47865740125,-5068492911,17514854205,2522375801,69751793744
1181807,40518490186,82013017640,4999486325,29492075318,-769781539,7988051588,6192905723,12695675901
157104,3104745682,163890858095,8695571149,39480054518,2257275624,6414415676,4111439791,10590351421
390903,24295853647,200493467392,38398867310,63395349622,5538120733,30398643608,4057632812,51240430238
106623,724638000000,3564956000000,1746625000000,4190818000000,212851000000,1400457000000,909836000000,1854756000000
925587,12514025297,89193493070,9145155542,29307002274,5851355380,4522552853,3377997236,12899541929
1276026,52695137,109075674540,28549180,7350082262,-4480991074,26323506,22528000,141354635
1159853,64558661774,246962129732,43099939817,184204506269,10569948289,77261605536,13657022403,99789218698
153339,56933703650,343504936231,85669363637,198031396664,6291489584,67466207220,16104222087,112102618035
797364,18939161028,17293395062,63091276538,253573088206,-5931724412,27300850064,44021896568,70841814182
155212,1245326003,346310428628,176387903111,256300305593,-23903131435,145034640270,52284838649,191746601017
123718,54555301554,260583378793,19915037040,130683767701,5308380991,94852252602,8270063341,36856655828
118275,61547926575,140568849510,37691738912,113391109206,-7898442316,20447572798,27298291200,51846812448
